[2020-07-05 16:46:25.571] s0	S1	S2	time	d	p	DIR	Angle	Kp	Kd	Speed
[2020-07-05 16:46:36.578]  162	 213	 300	  772611	-41.40	-18.00	2	 59	0.60	0.10	160
[2020-07-05 16:46:36.600]  146	 200	 300	  772631	-46.20	-24.00	2	 70	0.60	0.10	160
[2020-07-05 16:46:36.628]  131	 192	 300	  772661	-51.00	-16.00	2	 67	0.60	0.10	160
[2020-07-05 16:46:36.667]  114	 190	 300	  772681	-55.80	-24.00	2	 79	0.60	0.10	160
[2020-07-05 16:46:36.670]   90	 188	 300	  772701	-63.00	-36.00	2	 99	0.60	0.10	160
[2020-07-05 16:46:36.728]   92	 182	 300	  772731	-62.40	 2.00	2	 60	0.60	0.10	160
[2020-07-05 16:46:36.739]   83	 189	 300	  772751	-65.40	-15.00	2	 80	0.60	0.10	160
[2020-07-05 16:46:36.750]   79	 193	 300	  772771	-66.60	-6.00	2	 72	0.60	0.10	160
[2020-07-05 16:46:36.768]   76	 205	 300	  772801	-67.20	-2.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:36.788]   76	 218	 300	  772821	-67.20	 0.00	2	 67	0.60	0.10	160
[2020-07-05 16:46:36.811]   75	 218	 300	  772841	-67.80	-3.00	2	 70	0.60	0.10	160
[2020-07-05 16:46:36.852]   81	 238	 300	  772871	-66.00	 6.00	2	 59	0.60	0.10	160
[2020-07-05 16:46:36.860]   83	 243	 300	  772891	-65.40	 3.00	2	 62	0.60	0.10	160
[2020-07-05 16:46:36.895]   85	 245	 300	  772911	-64.80	 3.00	2	 61	0.60	0.10	160
[2020-07-05 16:46:36.942]   87	 254	 300	  772941	-64.20	 2.00	2	 62	0.60	0.10	160
[2020-07-05 16:46:36.955]   96	 274	 300	  772961	-61.20	15.00	2	 46	0.60	0.10	160
[2020-07-05 16:46:36.961]  101	 288	 300	  772981	-60.00	 6.00	2	 54	0.60	0.10	160
[2020-07-05 16:46:36.978]  106	 293	 300	  773011	-58.20	 6.00	2	 52	0.60	0.10	160
[2020-07-05 16:46:37.018]  109	 287	 300	  773031	-57.60	 3.00	2	 54	0.60	0.10	160
[2020-07-05 16:46:37.023]  117	 291	 300	  773052	-55.20	11.43	2	 43	0.60	0.10	160
[2020-07-05 16:46:37.048]  125	 311	 300	  773081	-52.80	 8.28	2	 44	0.60	0.10	160
[2020-07-05 16:46:37.068]  131	 322	 300	  773101	-51.00	 9.00	2	 42	0.60	0.10	160
[2020-07-05 16:46:37.098]  132	 316	 263	  773131	-39.60	38.00	2	  1	0.60	0.10	160
[2020-07-05 16:46:37.130]  137	 316	 299	  773151	-48.60	-45.00	2	 93	0.60	0.10	160
[2020-07-05 16:46:37.150]  142	 325	 300	  773171	-47.40	 6.00	2	 41	0.60	0.10	160
[2020-07-05 16:46:37.167]  148	 331	 298	  773201	-45.00	 8.00	2	 36	0.60	0.10	160
[2020-07-05 16:46:37.188]  150	 323	 296	  773221	-43.80	 6.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:37.208]  144	 316	 285	  773241	-42.60	 6.00	2	 36	0.60	0.10	160
[2020-07-05 16:46:37.238]  141	 317	 294	  773271	-46.20	-12.00	2	 58	0.60	0.10	160
[2020-07-05 16:46:37.294]  137	 314	 298	  773291	-48.60	-12.00	2	 60	0.60	0.10	160
[2020-07-05 16:46:37.323]  129	 310	 299	  773311	-51.00	-12.00	2	 63	0.60	0.10	160
[2020-07-05 16:46:37.340]  136	 304	 299	  773341	-49.20	 6.00	2	 43	0.60	0.10	160
[2020-07-05 16:46:37.349]  128	 307	 299	  773361	-51.60	-12.00	2	 63	0.60	0.10	160
[2020-07-05 16:46:37.359]  128	 314	 288	  773391	-48.00	12.00	2	 35	0.60	0.10	160
[2020-07-05 16:46:37.377]  127	 321	 280	  773411	-46.20	 9.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:37.408]  132	 337	 268	  773431	-40.80	27.00	2	 13	0.60	0.10	160
[2020-07-05 16:46:37.423]  138	 363	 247	  773451	-33.00	39.00	0	  6	0.60	0.10	160
[2020-07-05 16:46:37.454]  136	 402	 236	  773481	-30.00	10.00	2	 20	0.60	0.10	160
[2020-07-05 16:46:37.469]  154	 434	 225	  773501	-21.60	42.00	0	 20	0.60	0.10	160
[2020-07-05 16:46:37.490]  149	 450	 222	  773521	-22.20	-3.00	2	 25	0.60	0.10	160
[2020-07-05 16:46:37.519]  144	 445	 229	  773551	-25.80	-12.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:37.542]  142	 449	 226	  773571	-25.20	 3.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:37.561]  137	 448	 229	  773591	-27.60	-12.00	2	 39	0.60	0.10	160
[2020-07-05 16:46:37.592]  135	 438	 232	  773621	-29.40	-6.00	2	 35	0.60	0.10	160
[2020-07-05 16:46:37.620]  132	 431	 233	  773641	-30.60	-6.00	2	 36	0.60	0.10	160
[2020-07-05 16:46:37.668]  131	 418	 228	  773662	-29.40	 5.71	2	 23	0.60	0.10	160
[2020-07-05 16:46:37.675]  131	 453	 222	  773691	-27.60	 6.21	2	 21	0.60	0.10	160
[2020-07-05 16:46:37.679]  132	 575	 216	  773711	-25.20	12.00	2	 13	0.60	0.10	160
[2020-07-05 16:46:37.708]  136	 725	 209	  773741	-22.20	10.00	2	 12	0.60	0.10	160
[2020-07-05 16:46:37.728]  137	 961	 203	  773761	-19.80	12.00	2	  7	0.60	0.10	160
[2020-07-05 16:46:37.750]  143	1031	 197	  773781	-16.20	18.00	0	  1	0.60	0.10	160
[2020-07-05 16:46:37.786]  150	1074	 190	  773811	-12.00	14.00	0	  2	0.60	0.10	160
[2020-07-05 16:46:37.802]  152	1071	 183	  773831	-9.60	12.00	0	  2	0.60	0.10	160
[2020-07-05 16:46:37.823]  162	1014	 178	  773851	-4.80	24.00	0	 19	0.60	0.10	160
[2020-07-05 16:46:37.848]  168	1010	 182	  773881	-4.20	 2.00	2	  2	0.60	0.10	160
[2020-07-05 16:46:37.875]  171	 968	 178	  773901	-2.40	 9.00	0	  6	0.60	0.10	160
[2020-07-05 16:46:37.890]  174	 904	 170	  773921	 1.20	18.00	0	 19	0.60	0.10	160
[2020-07-05 16:46:37.942]  175	 829	 178	  773951	-1.20	-8.00	2	  9	0.60	0.10	160
[2020-07-05 16:46:37.954]  179	 751	 179	  773971	 0.00	 6.00	0	  6	0.60	0.10	160
[2020-07-05 16:46:37.965]  168	 658	 189	  773991	-6.60	-33.00	2	 39	0.60	0.10	160
[2020-07-05 16:46:37.992]  156	 607	 201	  774021	-13.80	-24.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:38.033]  158	 568	 217	  774041	-18.00	-21.00	2	 39	0.60	0.10	160
[2020-07-05 16:46:38.038]  163	 532	 253	  774071	-27.00	-30.00	2	 57	0.60	0.10	160
[2020-07-05 16:46:38.059]  167	 485	 300	  774091	-40.20	-66.00	2	100	0.60	0.10	160
[2020-07-05 16:46:38.090]  180	 454	 300	  774121	-36.00	14.00	2	 21	0.60	0.10	160
[2020-07-05 16:46:38.114]  188	 424	 300	  774141	-33.60	12.00	2	 21	0.60	0.10	160
[2020-07-05 16:46:38.137]  201	 397	 300	  774161	-30.00	18.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:38.162]  214	 371	 300	  774181	-25.80	21.00	2	  4	0.60	0.10	160
[2020-07-05 16:46:38.183]  235	 355	 300	  774211	-19.80	20.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:38.200]  241	 333	 300	  774231	-18.00	 9.00	2	  8	0.60	0.10	160
[2020-07-05 16:46:38.220]  239	 316	 300	  774251	-18.60	-3.00	2	 21	0.60	0.10	160
[2020-07-05 16:46:38.248]  226	 299	 300	  774281	-22.20	-12.00	2	 34	0.60	0.10	160
[2020-07-05 16:46:38.293]  217	 277	 300	  774301	-25.20	-15.00	2	 40	0.60	0.10	160
[2020-07-05 16:46:38.299]  208	 259	 300	  774321	-27.60	-12.00	2	 39	0.60	0.10	160
[2020-07-05 16:46:38.318]  190	 236	 300	  774351	-33.00	-18.00	2	 51	0.60	0.10	160
[2020-07-05 16:46:38.370]  179	 222	 300	  774371	-36.60	-18.00	2	 54	0.60	0.10	160
[2020-07-05 16:46:38.398]  164	 205	 300	  774391	-40.80	-21.00	2	 61	0.60	0.10	160
[2020-07-05 16:46:38.404]  144	 190	 300	  774421	-46.80	-20.00	2	 66	0.60	0.10	160
[2020-07-05 16:46:38.410]  128	 176	 300	  774441	-51.60	-24.00	2	 75	0.60	0.10	160
[2020-07-05 16:46:38.437]  109	 164	 300	  774461	-57.60	-30.00	2	 87	0.60	0.10	160
[2020-07-05 16:46:38.460]   93	 155	 300	  774491	-62.40	-16.00	2	 78	0.60	0.10	160
[2020-07-05 16:46:38.492]   84	 147	 300	  774511	-64.80	-12.00	2	 76	0.60	0.10	160
[2020-07-05 16:46:38.504]   75	 139	 300	  774532	-67.80	-14.29	2	 82	0.60	0.10	160
[2020-07-05 16:46:38.537]   70	 124	 300	  774561	-69.00	-4.14	2	 73	0.60	0.10	160
[2020-07-05 16:46:38.577]   70	 127	 300	  774581	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.583]   70	 124	 300	  774602	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.600]   70	 116	 300	  774631	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.620]   70	 114	 300	  774651	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.653]   70	 111	 300	  774681	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.673]   70	 109	 300	  774701	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.690]   70	 108	 300	  774721	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.760]   70	 106	 300	  774751	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.802]   70	 116	 300	  774771	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.823]   70	 132	 300	  774791	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.831]   70	 136	 300	  774821	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.844]   70	 153	 300	  774841	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.856]   70	 174	 300	  774861	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.871]   70	 191	 300	  774891	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.890]   70	 223	 300	  774911	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.937]   70	 252	 300	  774941	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.957]   70	 258	 300	  774961	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.970]   70	 293	 300	  774981	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:38.987]   76	 353	 298	  775011	-66.60	 8.00	2	 58	0.60	0.10	160
[2020-07-05 16:46:39.001]   85	 403	 284	  775031	-60.00	33.00	2	 26	0.60	0.10	160
[2020-07-05 16:46:39.019]  101	 444	 269	  775051	-50.40	48.00	2	  2	0.60	0.10	160
[2020-07-05 16:46:39.052]  118	 456	 253	  775071	-40.80	48.00	0	  7	0.60	0.10	160
[2020-07-05 16:46:39.082]  131	 430	 242	  775101	-33.60	24.00	2	  9	0.60	0.10	160
[2020-07-05 16:46:39.118]  146	 357	 231	  775121	-25.80	39.00	0	 13	0.60	0.10	160
[2020-07-05 16:46:39.138]  158	 289	 222	  775142	-19.20	31.43	0	 12	0.60	0.10	160
[2020-07-05 16:46:39.144]  156	 266	 211	  775171	-16.80	 8.28	2	  8	0.60	0.10	160
[2020-07-05 16:46:39.158]  160	 237	 200	  775191	-12.00	24.00	0	 12	0.60	0.10	160
[2020-07-05 16:46:39.214]  169	 242	 193	  775221	-7.20	16.00	0	  8	0.60	0.10	160
[2020-07-05 16:46:39.223]  168	 263	 188	  775241	-6.00	 6.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:39.232]  165	 266	 184	  775261	-6.00	 0.00	2	  6	0.60	0.10	160
[2020-07-05 16:46:39.258]  164	 295	 179	  775291	-4.80	 4.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:39.279]  162	 299	 177	  775311	-4.80	 0.00	2	  4	0.60	0.10	160
[2020-07-05 16:46:39.303]  162	 311	 171	  775331	-3.00	 9.00	0	  6	0.60	0.10	160
[2020-07-05 16:46:39.335]  162	 328	 172	  775361	-3.00	 0.00	2	  3	0.60	0.10	160
[2020-07-05 16:46:39.354]  164	 324	 173	  775381	-3.00	 0.00	2	  3	0.60	0.10	160
[2020-07-05 16:46:39.389]  169	 314	 174	  775401	-1.80	 6.00	0	  4	0.60	0.10	160
[2020-07-05 16:46:39.416]  175	 317	 172	  775431	 0.60	 8.00	0	  8	0.60	0.10	160
[2020-07-05 16:46:39.485]  175	 294	 176	  775451	-0.60	-6.00	2	  6	0.60	0.10	160
[2020-07-05 16:46:39.527]  176	 337	 180	  775471	-1.20	-3.00	2	  4	0.60	0.10	160
[2020-07-05 16:46:39.535]  169	 320	 182	  775501	-4.20	-10.00	2	 14	0.60	0.10	160
[2020-07-05 16:46:39.573]  161	 324	 184	  775521	-7.20	-15.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:39.582]  156	 337	 197	  775541	-12.60	-27.00	2	 39	0.60	0.10	160
[2020-07-05 16:46:39.584]  157	 350	 196	  775571	-12.00	 2.00	2	  9	0.60	0.10	160
[2020-07-05 16:46:39.593]  152	 346	 205	  775591	-16.20	-21.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:39.598]  148	 365	 202	  775621	-16.20	 0.00	2	 16	0.60	0.10	160
[2020-07-05 16:46:39.607]  142	 378	 199	  775641	-17.40	-6.00	2	 23	0.60	0.10	160
[2020-07-05 16:46:39.628]  140	 385	 206	  775661	-19.80	-12.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:39.658]  136	 397	 213	  775691	-23.40	-12.00	2	 35	0.60	0.10	160
[2020-07-05 16:46:39.678]  140	 421	 216	  775711	-22.80	 3.00	2	 19	0.60	0.10	160
[2020-07-05 16:46:39.702]  135	 424	 222	  775731	-26.40	-18.00	2	 44	0.60	0.10	160
[2020-07-05 16:46:39.728]  134	 436	 225	  775761	-27.60	-4.00	2	 31	0.60	0.10	160
[2020-07-05 16:46:39.776]  136	 432	 223	  775781	-26.40	 6.00	2	 20	0.60	0.10	160
[2020-07-05 16:46:39.800]  137	 429	 225	  775801	-26.40	 0.00	2	 26	0.60	0.10	160
[2020-07-05 16:46:39.806]  138	 431	 225	  775831	-26.40	 0.00	2	 26	0.60	0.10	160
[2020-07-05 16:46:39.868]  147	 439	 227	  775851	-24.00	12.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:39.911]  152	 450	 232	  775871	-24.00	 0.00	2	 24	0.60	0.10	160
[2020-07-05 16:46:39.918]  155	 444	 272	  775901	-35.40	-38.00	2	 73	0.60	0.10	160
[2020-07-05 16:46:39.922]  157	 419	 300	  775921	-43.20	-39.00	2	 82	0.60	0.10	160
[2020-07-05 16:46:39.926]  157	 401	 300	  775941	-43.20	 0.00	2	 43	0.60	0.10	160
[2020-07-05 16:46:39.942]  180	 378	 300	  775971	-36.00	24.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:39.958]  189	 366	 300	  775991	-33.60	12.00	2	 21	0.60	0.10	160
[2020-07-05 16:46:39.978]  201	 361	 300	  776011	-30.00	18.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:40.007]  212	 353	 300	  776041	-26.40	12.00	2	 14	0.60	0.10	160
[2020-07-05 16:46:40.029]  226	 345	 300	  776061	-22.20	21.00	2	  1	0.60	0.10	160
[2020-07-05 16:46:40.048]  238	 329	 300	  776081	-18.60	18.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:40.078]  237	 310	 300	  776111	-19.20	-2.00	2	 21	0.60	0.10	160
[2020-07-05 16:46:40.098]  235	 301	 300	  776131	-19.80	-3.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:40.129]  226	 285	 300	  776161	-22.20	-8.00	2	 30	0.60	0.10	160
[2020-07-05 16:46:40.149]  221	 267	 300	  776181	-24.00	-9.00	2	 32	0.60	0.10	160
[2020-07-05 16:46:40.177]  193	 253	 300	  776211	-32.40	-28.00	2	 60	0.60	0.10	160
[2020-07-05 16:46:40.236]  177	 238	 300	  776231	-37.20	-24.00	2	 61	0.60	0.10	160
[2020-07-05 16:46:40.241]  159	 220	 300	  776251	-42.60	-27.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:40.248]  141	 206	 300	  776281	-48.00	-18.00	2	 65	0.60	0.10	160
[2020-07-05 16:46:40.269]  122	 195	 300	  776301	-53.40	-27.00	2	 80	0.60	0.10	160
[2020-07-05 16:46:40.288]   96	 190	 300	  776321	-61.20	-39.00	2	100	0.60	0.10	160
[2020-07-05 16:46:40.344]   96	 187	 300	  776351	-61.20	 0.00	2	 61	0.60	0.10	160
[2020-07-05 16:46:40.352]   91	 189	 300	  776371	-63.00	-9.00	2	 72	0.60	0.10	160
[2020-07-05 16:46:40.365]   82	 188	 300	  776391	-65.40	-12.00	2	 77	0.60	0.10	160
[2020-07-05 16:46:40.392]   76	 194	 300	  776421	-67.20	-6.00	2	 73	0.60	0.10	160
[2020-07-05 16:46:40.412]   78	 202	 300	  776441	-66.60	 3.00	2	 63	0.60	0.10	160
[2020-07-05 16:46:40.427]   74	 206	 300	  776461	-67.80	-6.00	2	 73	0.60	0.10	160
[2020-07-05 16:46:40.457]   78	 205	 300	  776491	-66.60	 4.00	2	 62	0.60	0.10	160
[2020-07-05 16:46:40.486]   78	 219	 300	  776511	-66.60	 0.00	2	 66	0.60	0.10	160
[2020-07-05 16:46:40.503]   82	 224	 300	  776531	-65.40	 6.00	2	 59	0.60	0.10	160
[2020-07-05 16:46:40.569]   83	 226	 300	  776561	-65.40	 0.00	2	 65	0.60	0.10	160
[2020-07-05 16:46:40.606]   88	 236	 300	  776581	-63.60	 9.00	2	 54	0.60	0.10	160
[2020-07-05 16:46:40.618]   88	 248	 300	  776601	-63.60	 0.00	2	 63	0.60	0.10	160
[2020-07-05 16:46:40.621]   97	 263	 300	  776631	-61.20	 8.00	2	 53	0.60	0.10	160
[2020-07-05 16:46:40.631]   97	 269	 300	  776651	-61.20	 0.00	2	 61	0.60	0.10	160
[2020-07-05 16:46:40.640]  105	 268	 300	  776672	-58.80	11.43	2	 47	0.60	0.10	160
[2020-07-05 16:46:40.668]  109	 266	 300	  776702	-57.60	 4.00	2	 53	0.60	0.10	160
[2020-07-05 16:46:40.699]  114	 285	 300	  776723	-55.80	 8.57	2	 47	0.60	0.10	160
[2020-07-05 16:46:40.710]  121	 299	 300	  776743	-54.00	 9.00	2	 45	0.60	0.10	160
[2020-07-05 16:46:40.743]  128	 303	 300	  776764	-51.60	11.43	2	 40	0.60	0.10	160
[2020-07-05 16:46:40.765]  134	 313	 300	  776794	-49.80	 6.00	2	 43	0.60	0.10	160
[2020-07-05 16:46:40.791]  136	 316	 300	  776815	-49.20	 2.86	2	 46	0.60	0.10	160
[2020-07-05 16:46:40.802]  148	 329	 300	  776835	-45.60	18.00	2	 27	0.60	0.10	160
[2020-07-05 16:46:40.857]  150	 344	 288	  776865	-41.40	14.00	2	 27	0.60	0.10	160
[2020-07-05 16:46:40.861]  146	 363	 286	  776885	-42.00	-3.00	2	 44	0.60	0.10	160
[2020-07-05 16:46:40.867]  140	 373	 276	  776905	-40.80	 6.00	2	 34	0.60	0.10	160
[2020-07-05 16:46:40.902]  142	 381	 264	  776935	-36.60	14.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:40.934]  157	 390	 260	  776955	-31.20	27.00	2	  4	0.60	0.10	160
[2020-07-05 16:46:40.974]  160	 402	 247	  776975	-26.40	24.00	2	  2	0.60	0.10	160
[2020-07-05 16:46:40.982]  163	 414	 236	  777005	-22.20	14.00	2	  8	0.60	0.10	160
[2020-07-05 16:46:40.992]  171	 428	 227	  777025	-16.80	27.00	0	 10	0.60	0.10	160
[2020-07-05 16:46:41.022]  174	 434	 219	  777055	-13.80	10.00	2	  3	0.60	0.10	160
[2020-07-05 16:46:41.042]  175	 442	 216	  777075	-12.60	 6.00	2	  6	0.60	0.10	160
[2020-07-05 16:46:41.064]  161	 440	 219	  777095	-17.40	-24.00	2	 41	0.60	0.10	160
[2020-07-05 16:46:41.092]  166	 438	 216	  777125	-15.00	 8.00	2	  6	0.60	0.10	160
[2020-07-05 16:46:41.138]  170	 431	 216	  777145	-13.80	 6.00	2	  7	0.60	0.10	160
[2020-07-05 16:46:41.142]  161	 429	 227	  777165	-19.80	-30.00	2	 49	0.60	0.10	160
[2020-07-05 16:46:41.165]  156	 433	 228	  777195	-21.60	-6.00	2	 27	0.60	0.10	160
[2020-07-05 16:46:41.182]  149	 437	 232	  777215	-25.20	-18.00	2	 43	0.60	0.10	160
[2020-07-05 16:46:41.222]  143	 427	 236	  777235	-28.20	-15.00	2	 43	0.60	0.10	160
[2020-07-05 16:46:41.235]  137	 422	 240	  777265	-31.20	-10.00	2	 41	0.60	0.10	160
[2020-07-05 16:46:41.261]  136	 426	 237	  777286	-30.60	 2.86	2	 27	0.60	0.10	160
[2020-07-05 16:46:41.273]  133	 425	 232	  777306	-30.00	 3.00	2	 27	0.60	0.10	160
[2020-07-05 16:46:41.304]  135	 421	 221	  777336	-25.80	14.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:41.336]  131	 463	 214	  777356	-25.20	 3.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:41.344]  136	 604	 209	  777376	-22.20	15.00	2	  7	0.60	0.10	160
[2020-07-05 16:46:41.373]  141	 707	 207	  777406	-19.80	 8.00	2	 11	0.60	0.10	160
[2020-07-05 16:46:41.394]  148	 944	 195	  777426	-14.40	27.00	0	 12	0.60	0.10	160
[2020-07-05 16:46:41.416]  152	1039	 191	  777446	-12.00	12.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:41.443]  158	1046	 179	  777476	-6.60	18.00	0	 11	0.60	0.10	160
[2020-07-05 16:46:41.465]  167	1021	 177	  777496	-3.00	18.00	0	 15	0.60	0.10	160
[2020-07-05 16:46:41.483]  173	1013	 180	  777516	-2.40	 3.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:41.514]  182	 978	 172	  777546	 3.00	18.00	0	 21	0.60	0.10	160
[2020-07-05 16:46:41.532]  182	 916	 165	  777566	 4.80	 9.00	0	 13	0.60	0.10	160
[2020-07-05 16:46:41.564]  183	 886	 170	  777586	 3.60	-6.00	2	  2	0.60	0.10	160
[2020-07-05 16:46:41.588]  180	 770	 177	  777616	 0.60	-10.00	2	  9	0.60	0.10	160
[2020-07-05 16:46:41.602]  166	 679	 184	  777636	-5.40	-30.00	2	 35	0.60	0.10	160
[2020-07-05 16:46:41.625]  156	 616	 198	  777656	-12.60	-36.00	2	 48	0.60	0.10	160
[2020-07-05 16:46:41.655]  164	 571	 214	  777686	-15.00	-8.00	2	 23	0.60	0.10	160
[2020-07-05 16:46:41.709]  166	 526	 274	  777706	-32.40	-87.00	2	100	0.60	0.10	160
[2020-07-05 16:46:41.716]  164	 491	 300	  777726	-40.80	-42.00	2	 82	0.60	0.10	160
[2020-07-05 16:46:41.723]  178	 464	 300	  777756	-36.60	14.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:41.744]  186	 422	 300	  777776	-34.20	12.00	2	 22	0.60	0.10	160
[2020-07-05 16:46:41.782]  196	 400	 300	  777796	-31.20	15.00	2	 16	0.60	0.10	160
[2020-07-05 16:46:41.799]  210	 370	 300	  777826	-27.00	14.00	2	 13	0.60	0.10	160
[2020-07-05 16:46:41.827]  217	 345	 300	  777846	-25.20	 9.00	2	 16	0.60	0.10	160
[2020-07-05 16:46:41.835]  230	 328	 300	  777867	-21.00	20.00	1	  0	0.60	0.10	160
[2020-07-05 16:46:41.863]  227	 316	 300	  777896	-22.20	-4.14	2	 26	0.60	0.10	160
[2020-07-05 16:46:41.883]  219	 293	 300	  777916	-24.60	-12.00	2	 36	0.60	0.10	160
[2020-07-05 16:46:41.915]  208	 272	 300	  777946	-27.60	-10.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:41.933]  196	 256	 300	  777966	-31.20	-18.00	2	 49	0.60	0.10	160
[2020-07-05 16:46:41.953]  184	 237	 300	  777986	-34.80	-18.00	2	 52	0.60	0.10	160
[2020-07-05 16:46:41.985]  172	 219	 300	  778016	-38.40	-12.00	2	 50	0.60	0.10	160
[2020-07-05 16:46:42.005]  153	 196	 300	  778036	-44.40	-30.00	2	 74	0.60	0.10	160
[2020-07-05 16:46:42.077]  135	 183	 300	  778056	-49.80	-27.00	2	 76	0.60	0.10	160
[2020-07-05 16:46:42.094]  117	 172	 300	  778086	-55.20	-18.00	2	 73	0.60	0.10	160
[2020-07-05 16:46:42.123]   98	 160	 300	  778106	-60.60	-27.00	2	 87	0.60	0.10	160
[2020-07-05 16:46:42.140]   86	 149	 300	  778126	-64.20	-18.00	2	 82	0.60	0.10	160
[2020-07-05 16:46:42.153]   76	 139	 300	  778156	-67.20	-10.00	2	 77	0.60	0.10	160
[2020-07-05 16:46:42.159]   70	 134	 300	  778176	-69.00	-9.00	2	 77	0.60	0.10	160
[2020-07-05 16:46:42.169]   70	 133	 300	  778197	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.197]   70	 118	 300	  778227	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.215]   70	 113	 300	  778247	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.239]   70	 116	 300	  778267	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.279]   70	 112	 300	  778297	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.310]   70	 110	 300	  778317	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.338]   70	 114	 300	  778337	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.351]   70	 115	 300	  778367	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.368]   70	 114	 300	  778387	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.416]   70	 121	 300	  778407	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.476]   70	 134	 300	  778437	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.492]   70	 148	 300	  778457	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.506]   70	 150	 300	  778477	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.518]   70	 181	 300	  778507	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.537]   70	 208	 300	  778527	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.544]   70	 239	 300	  778559	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.553]   70	 273	 300	  778579	-69.00	 0.00	2	 69	0.60	0.10	160
[2020-07-05 16:46:42.574]   72	 287	 300	  778599	-68.40	 3.00	2	 65	0.60	0.10	160
[2020-07-05 16:46:42.620]   70	 331	 300	  778619	-69.00	-3.00	2	 71	0.60	0.10	160
[2020-07-05 16:46:42.632]   88	 410	 294	  778649	-61.80	24.00	2	 37	0.60	0.10	160
[2020-07-05 16:46:42.652]  107	 464	 279	  778670	-51.60	48.57	2	  3	0.60	0.10	160
