[2020-07-18 09:55:55.200] S0	S1	S2	Time	D	P	DIR	Angle	Kp	Kd	Speed	Layout
[2020-07-18 09:55:55.254] 	 300	   0	 300	  366553	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.259] 	 300	   0	 300	  366573	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.276] 	 300	   0	 300	  366593	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.288] 	 300	   0	 300	  366623	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.296] 	 300	   0	 300	  366643	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.302] 	 300	   0	 300	  366663	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.308] 	 300	   0	 300	  366693	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.325] 	 300	   0	 300	  366713	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.330] 	 300	   0	 300	  366734	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.367] 	 300	   0	 300	  366763	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.388] 	 300	   0	 300	  366783	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.396] 	 300	   0	 300	  366813	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.408] 	 300	1906	 300	  366833	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.415] 	 300	   0	 300	  366853	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.420] 	 300	   0	 300	  366883	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.435] 	 300	   0	 300	  366903	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.456] 	 300	   0	 300	  366923	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.456] 	 300	2041	 300	  366953	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.456] 	 300	   0	 300	  366973	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.456] 	 300	   0	 300	  366993	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.456] 	 300	   0	 300	  367023	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.456] 	 300	   0	 300	  367043	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.476] 	 300	   0	 300	  367063	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.476] 	 300	   0	 300	  367093	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.476] 	 300	   0	 300	  367113	 0.00	 0.00	1	  0	0.60	0.10	180	2
