[2020-07-18 09:55:55.200] S0	S1	S2	Time	D	P	DIR	Angle	Kp	Kd	Speed	Layout
[2020-07-18 09:55:55.476] 	 300	   0	 300	  367133	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.476] 	 300	   0	 300	  367163	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.492] 	 300	2066	 300	  367183	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.492] 	 300	   0	 300	  367203	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.492] 	 300	   0	 300	  367233	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.492] 	 300	   0	 300	  367253	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.492] 	 300	   0	 300	  367283	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.494] 	 300	   0	 300	  367633	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.500] 	 300	   0	 300	  367654	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.513] 	 300	   0	 300	  367675	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.521] 	 300	1666	 300	  367695	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.528] 	 300	   0	 300	  367725	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.537] 	 300	   0	 300	  367745	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.575] 	 300	   0	 300	  367765	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.640] 	 300	   0	 300	  367795	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.665] 	 300	   0	 300	  367815	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.676] 	 300	   0	 300	  367835	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.681] 	 300	   0	 300	  367865	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.691] 	 300	   0	 300	  367885	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.696] 	 300	   0	 300	  367905	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.704] 	 300	   0	 300	  367935	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.726] 	 300	   0	 300	  367955	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.731] 	 300	2004	 300	  367975	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.741] 	 300	   0	 300	  368005	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.776] 	 300	   0	 300	  368025	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.783] 	 300	   0	 300	  368045	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.796] 	 300	2051	 300	  368075	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.829] 	 300	   0	 300	  368095	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.850] 	 300	   0	 300	  368115	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.870] 	 300	   0	 300	  368145	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.879] 	 300	   0	 300	  368165	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.891] 	 300	   0	 300	  368195	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.900] 	 300	   0	 300	  368215	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.909] 	 300	   0	 300	  368235	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:55.976] 	 300	   0	 300	  368255	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.007] 	 300	   0	 300	  368285	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.065] 	 300	   0	 300	  368305	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.076] 	 300	   0	 300	  368325	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.083] 	 300	   0	 300	  368355	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.092] 	 300	   0	 300	  368375	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.098] 	 300	   0	 300	  368395	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.113] 	 300	   0	 300	  368425	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.127] 	 300	   0	 300	  368445	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.149] 	 300	   0	 300	  368466	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.163] 	 300	   0	 300	  368495	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.214] 	 300	   0	 300	  368515	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.230] 	 300	   0	 300	  368545	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.241] 	 300	   0	 300	  368565	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.254] 	 300	   0	 300	  368585	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.276] 	 300	   0	 300	  368615	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.343] 	 300	   0	 300	  368635	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.370] 	 300	   0	 300	  368655	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.387] 	 300	   0	 300	  368685	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.399] 	 300	1982	 300	  368705	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.418] 	 300	1808	 300	  368725	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.432] 	 300	   0	 300	  368755	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.448] 	 300	   0	 300	  368775	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.460] 	 300	2082	 300	  368795	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.538] 	 300	   0	 300	  368825	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.559] 	 300	   0	 300	  368845	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.589] 	 300	   0	 300	  368875	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.612] 	 300	1919	 300	  368895	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.656] 	 300	2003	 300	  368915	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.721] 	 300	2043	 300	  368935	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.734] 	 300	   0	 300	  368965	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.749] 	 300	   0	 300	  368985	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.757] 	 300	   0	 300	  369015	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.768] 	 300	2018	 300	  369035	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.779] 	 300	1983	 300	  369055	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.786] 	 300	1989	 300	  369085	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.793] 	 300	2044	 300	  369105	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.802] 	 300	1949	 300	  369125	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.811] 	 300	1978	 300	  369145	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.826] 	 300	2068	 300	  369176	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.850] 	 300	2050	 300	  369196	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.874] 	 300	1986	 300	  369216	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.900] 	 300	2056	 300	  369246	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.933] 	 300	2043	 300	  369266	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.949] 	 300	2040	 300	  369286	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:56.970] 	 300	2022	 300	  369316	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.004] 	 300	2024	 300	  369336	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.010] 	 300	2021	 300	  369356	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.068] 	 300	2021	 300	  369386	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.075] 	 300	1999	 300	  369406	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.080] 	 300	1985	 300	  369426	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.109] 	 300	2001	 300	  369456	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.132] 	 300	1958	 300	  369476	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.156] 	 300	1957	 300	  369496	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.188] 	 300	1943	 300	  369526	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.204] 	 300	1933	 300	  369546	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.225] 	 300	1897	 300	  369566	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.253] 	 300	1888	 300	  369596	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.299] 	 300	1869	 300	  369616	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.308] 	 300	1856	 300	  369636	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.325] 	 300	1851	 300	  369666	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.354] 	 300	1806	 300	  369686	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.381] 	 300	1795	 300	  369706	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.443] 	 300	1771	 300	  369736	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.449] 	 300	1734	 300	  369756	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.458] 	 300	1731	 300	  369776	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.461] 	 300	1700	 300	  369806	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.491] 	 300	1679	 300	  369826	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.500] 	 300	1666	 300	  369847	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.530] 	 300	1626	 300	  369876	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.542] 	 300	1597	 300	  369896	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.574] 	 287	1587	 300	  369926	-4.20	-14.00	2	 18	0.60	0.10	180	2
[2020-07-18 09:55:57.592] 	 288	1549	 300	  369946	-3.60	 3.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.659] 	 286	1530	 300	  369966	-4.20	-3.00	2	  7	0.60	0.10	180	2
[2020-07-18 09:55:57.663] 	 285	1509	 300	  369996	-4.80	-2.00	2	  6	0.60	0.10	180	2
[2020-07-18 09:55:57.674] 	 282	1491	 300	  370016	-5.40	-3.00	2	  8	0.60	0.10	180	2
[2020-07-18 09:55:57.692] 	 285	1453	 300	  370036	-4.80	 3.00	2	  1	0.60	0.10	180	2
[2020-07-18 09:55:57.721] 	 283	1437	 300	  370066	-5.40	-2.00	2	  7	0.60	0.10	180	2
[2020-07-18 09:55:57.748] 	 288	1394	 300	  370086	-3.60	 9.00	0	  5	0.60	0.10	180	2
[2020-07-18 09:55:57.815] 	 291	1397	 300	  370106	-3.00	 3.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.819] 	 292	1370	 300	  370136	-2.40	 2.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.826] 	 291	1332	 300	  370156	-3.00	-3.00	2	  5	0.60	0.10	180	2
[2020-07-18 09:55:57.829] 	 294	1302	 300	  370176	-1.80	 6.00	0	  4	0.60	0.10	180	2
[2020-07-18 09:55:57.860] 	 299	1278	 300	  370206	-0.60	 4.00	0	  3	0.60	0.10	180	2
[2020-07-18 09:55:57.880] 	 300	1244	 300	  370226	 0.00	 3.00	0	  3	0.60	0.10	180	2
[2020-07-18 09:55:57.900] 	 300	1218	 300	  370246	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.938] 	 300	1186	 300	  370276	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.950] 	 300	1156	 300	  370296	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.971] 	 300	1120	 300	  370316	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:57.992] 	 300	1094	 300	  370346	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.020] 	 300	1058	 300	  370366	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.042] 	 300	1025	 300	  370386	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.082] 	 300	 996	 300	  370416	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.107] 	 300	 960	 300	  370436	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.181] 	 300	 933	 300	  370456	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.204] 	 300	 898	 300	  370486	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.212] 	 300	 866	 300	  370506	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.227] 	 300	 834	 300	  370526	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.261] 	 300	 797	 300	  370556	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.292] 	 300	 760	 300	  370576	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.297] 	 300	 728	 300	  370596	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.310] 	 300	 688	 300	  370626	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.316] 	 300	 655	 300	  370646	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.345] 	 300	 622	 300	  370666	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.361] 	 300	 597	 300	  370696	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.376] 	 300	 566	 300	  370716	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.405] 	 300	 542	 300	  370746	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.433] 	 300	 519	 300	  370766	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.454] 	 300	 495	 300	  370786	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.475] 	 300	 477	 300	  370816	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.627] 	 300	 457	 300	  370836	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.658] 	 300	 440	 300	  370856	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.698] 	 300	 421	 300	  370877	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.715] 	 300	 404	 300	  370906	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.729] 	 300	 388	 300	  370926	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.746] 	 300	 377	 300	  370956	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.762] 	 300	 362	 300	  370976	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.778] 	 300	 352	 300	  370996	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.796] 	 300	 340	 300	  371026	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.811] 	 300	 331	 300	  371046	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.820] 	 300	 320	 300	  371066	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.829] 	 300	 313	 300	  371096	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.844] 	 300	 302	 300	  371116	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.909] 	 300	 298	 300	  371136	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.945] 	 300	 288	 300	  371166	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.959] 	 300	 285	 300	  371186	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.980] 	 300	 280	 300	  371206	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:58.993] 	 300	 274	 300	  371236	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.011] 	 300	 269	 300	  371256	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.031] 	 300	 267	 300	  371276	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.047] 	 300	 268	 300	  371306	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.070] 	 300	 263	 300	  371326	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.084] 	 300	 262	 300	  371347	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.101] 	 300	 261	 300	  371376	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.116] 	 300	 260	 300	  371396	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.137] 	 300	 262	 300	  371416	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.151] 	 300	 261	 300	  371446	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.175] 	 300	 260	 300	  371466	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.218] 	 300	 260	 300	  371486	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.287] 	 300	 260	 300	  371516	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.313] 	 300	 258	 300	  371536	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.335] 	 300	 261	 300	  371556	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.342] 	 300	 261	 300	  371586	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.375] 	 300	 266	 300	  371606	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.398] 	 300	 261	 300	  371626	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.420] 	 300	 261	 300	  371656	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.435] 	 300	 260	 300	  371676	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.442] 	 300	 261	 300	  371706	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.469] 	 300	 262	 300	  371726	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.500] 	 300	 258	 300	  371746	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.518] 	 300	 262	 300	  371766	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.541] 	 300	 263	 300	  371796	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.568] 	 300	 260	 300	  371816	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.653] 	 300	 260	 300	  371836	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.665] 	 300	 263	 300	  371866	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.683] 	 300	 262	 300	  371886	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.731] 	 300	 260	 300	  371906	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.763] 	 300	 261	 300	  371936	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.791] 	 300	 260	 300	  371956	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.815] 	 300	 259	 300	  371977	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.862] 	 300	 261	 300	  372006	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.890] 	 300	 263	 300	  372026	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.911] 	 300	 263	 300	  372056	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.928] 	 300	 262	 300	  372076	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:55:59.948] 	 300	 261	 300	  372096	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.029] 	 300	 261	 300	  372126	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.077] 	 300	 261	 300	  372146	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.085] 	 300	 259	 300	  372166	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.107] 	 300	 261	 300	  372196	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.117] 	 300	 261	 300	  372216	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.133] 	 300	 260	 300	  372236	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.144] 	 300	 260	 300	  372266	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.162] 	 300	 262	 300	  372286	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.180] 	 300	 258	 300	  372306	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.219] 	 300	 260	 300	  372336	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.232] 	 300	 259	 300	  372356	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.245] 	 300	 260	 300	  372376	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.259] 	 300	 258	 300	  372406	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.277] 	 300	 260	 300	  372426	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.294] 	 300	 259	 300	  372446	 0.00	 0.00	1	  0	0.60	0.10	180	2
